################################################################################
# Collectl:   V4.0.4-1  HiRes: 1  Options: -D /etc/collectl.conf 
# Host:       topstorlin  DaemonOpts: -P -f /var/www/html/des20/Data/collectl -r00:00,7 -m -F5  -oz
# Booted:     1469196466.54 [20160722-17:07:46]
# Distro:     CentOS Linux release 7.2.1511 (Core)   Platform: VirtualBox
# Date:       20160723-112601  Secs: 1469262361 TZ: +0300
# SubSys:     bcdfijmnst Options: z Interval: 10 NumCPUs: 2  NumBud: 2 Flags: i
# Filters:    NfsFilt:  EnvFilt:  TcpFilt: ituc
# HZ:         100  Arch: x86_64-linux-thread-multi PageSize: 4096
# Cpu:        GenuineIntel Speed(MHz): 2194.920 Cores: 2  Siblings: 2 Nodes: 1
# Kernel:     3.10.0-327.18.2.el7.x86_64  Memory: 1274784 kB  Swap: 1048572 kB
# NumDisks:   2 DiskNames: sda sdb
# NumNets:    4 NetNames: enp0s3:1000 enp0s8:1000 enp0s9:1000 lo:??
# SCSI:       DA:0:00:00:00 CD:2:00:00:00 DA:3:00:00:00
################################################################################
#Date Time [CPU]User% [CPU]Nice% [CPU]Sys% [CPU]Wait% [CPU]Irq% [CPU]Soft% [CPU]Steal% [CPU]Idle% [CPU]Totl% [CPU]Guest% [CPU]GuestN% [CPU]Intrpt/sec [CPU]Ctx/sec [CPU]Proc/sec [CPU]ProcQue [CPU]ProcRun [CPU]L-Avg1 [CPU]L-Avg5 [CPU]L-Avg15 [CPU]RunTot [CPU]BlkTot [MEM]Tot [MEM]Used [MEM]Free [MEM]Shared [MEM]Buf [MEM]Cached [MEM]Slab [MEM]Map [MEM]Anon [MEM]AnonH [MEM]Commit [MEM]Locked [MEM]SwapTot [MEM]SwapUsed [MEM]SwapFree [MEM]SwapIn [MEM]SwapOut [MEM]Dirty [MEM]Clean [MEM]Laundry [MEM]Inactive [MEM]PageIn [MEM]PageOut [MEM]PageFaults [MEM]PageMajFaults [MEM]HugeTotal [MEM]HugeFree [MEM]HugeRsvd [MEM]SUnreclaim [SOCK]Used [SOCK]Tcp [SOCK]Orph [SOCK]Tw [SOCK]Alloc [SOCK]Mem [SOCK]Udp [SOCK]Raw [SOCK]Frag [SOCK]FragMem [NET]RxPktTot [NET]TxPktTot [NET]RxKBTot [NET]TxKBTot [NET]RxCmpTot [NET]RxMltTot [NET]TxCmpTot [NET]RxErrsTot [NET]TxErrsTot [DSK]ReadTot [DSK]WriteTot [DSK]OpsTot [DSK]ReadKBTot [DSK]WriteKBTot [DSK]KbTot [DSK]ReadMrgTot [DSK]WriteMrgTot [DSK]MrgTot [INODE]NumDentry [INODE]openFiles [INODE]MaxFile% [INODE]used [NFS]ReadsS [NFS]WritesS [NFS]MetaS [NFS]CommitS [NFS]Udp [NFS]Tcp [NFS]TcpConn [NFS]BadAuth [NFS]BadClient [NFS]ReadsC [NFS]WritesC [NFS]MetaC [NFS]CommitC [NFS]Retrans [NFS]AuthRef [TCP]IpErr [TCP]TcpErr [TCP]UdpErr [TCP]IcmpErr [TCP]Loss [TCP]FTrans [BUD]1Page [BUD]2Pages [BUD]4Pages [BUD]8Pages [BUD]16Pages [BUD]32Pages [BUD]64Pages [BUD]128Pages [BUD]256Pages [BUD]512Pages [BUD]1024Pages
20160723 11:26:20 13 0 12 4 0 1 0 70 26 0 0 1077 1010 46 570 0 1.02 0.97 0.95 1 0 1274784 877212 397572 119152 10536 488396 87860 91888 169216 22528 592484 5760 1048572 0 1048572 0 0 48 0 0 116904 4097 96 16649 0 0 0 0 38940 280 13 0 15 24 1 0 0 0 0 26 22 3 5 0 0 0 0 0 11 30 40 4097 96 4193 0 1 1 103476 2528 2 28324 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 578 690 288 78 64 23 7 4 7 8 85
20160723 11:26:30 15 0 12 4 0 2 0 67 29 0 0 1174 1172 40 577 2 0.86 0.94 0.94 1 0 1274784 877156 397628 119152 8488 488408 87800 92924 171372 22528 604672 5760 1048572 0 1048572 0 0 64 0 0 115876 2048 564 14866 0 0 0 0 38888 281 13 0 13 24 0 0 0 0 0 26 22 3 5 0 0 0 0 0 5 70 75 2048 564 2612 0 0 0 103504 2560 2 28340 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 230 699 316 114 62 23 6 5 7 8 85
20160723 11:26:40 15 0 10 2 0 1 0 72 26 0 0 979 869 43 578 1 0.73 0.91 0.93 1 0 1274784 877784 397000 119152 8488 488412 87784 92008 171148 22528 596088 5760 1048572 0 1048572 0 0 28 0 0 115880 2049 64 15933 0 0 0 0 38872 283 15 0 14 26 0 0 0 0 0 17 15 2 4 0 0 0 0 0 5 24 30 2049 64 2113 0 0 0 103536 2592 2 28371 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 182 718 312 92 62 23 6 5 7 8 85
20160723 11:26:50 13 0 10 4 0 1 0 71 25 0 0 1045 1080 45 575 3 0.69 0.89 0.93 1 0 1274784 876632 398152 119152 8488 488412 87848 92156 170696 22528 595984 5760 1048572 0 1048572 0 0 32 0 0 115876 4095 364 16490 0 0 0 0 38936 282 14 0 12 25 0 0 0 0 0 17 15 2 4 0 0 0 0 0 11 57 67 4095 364 4459 0 1 1 103514 2560 2 28348 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 279 762 319 87 68 24 7 6 8 9 84
20160723 11:27:00 15 0 10 2 0 1 0 73 25 0 0 977 891 41 571 1 0.74 0.90 0.93 1 0 1274784 875136 399648 119152 8488 488432 87864 92004 169212 22528 592716 5760 1048572 0 1048572 0 0 36 0 0 115876 2048 62 15913 0 0 0 0 38952 281 13 0 13 24 1 0 0 0 0 19 16 2 5 0 0 0 0 0 5 25 30 2048 62 2110 0 0 0 103509 2496 2 28329 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 666 730 314 107 67 23 7 6 8 9 84
20160723 11:27:10 17 3 21 6 0 3 0 49 45 0 0 1702 1922 89 583 3 0.86 0.92 0.94 1 0 1274784 884288 390496 119184 10536 488552 87884 92100 174804 22528 605236 5760 1048572 0 1048572 0 0 56 0 0 116988 3688 1588 31621 0 0 0 0 38960 286 17 0 12 28 8 0 0 0 0 14 12 1 4 0 0 0 0 0 9 216 225 3688 1588 5276 0 0 0 103653 2752 2 28453 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 99 556 123 79 30 19 9 3 8 9 84
20160723 11:27:20 15 0 11 3 0 1 0 70 27 0 0 1045 981 49 578 0 0.81 0.90 0.93 2 0 1274784 882336 392448 119184 10536 488508 87904 92012 173252 22528 601452 5760 1048572 0 1048572 0 0 68 0 0 116916 2868 321 18914 0 0 0 0 38960 285 16 0 14 27 1 0 0 0 0 14 12 2 4 0 0 0 0 0 8 39 46 2868 321 3189 0 1 1 103636 2688 2 28423 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 463 644 196 108 70 21 7 6 4 9 84
20160723 11:27:30 15 1 12 3 0 1 0 67 29 0 0 1092 1027 40 573 1 0.68 0.87 0.92 1 0 1274784 875052 399732 119152 8488 488484 87752 91984 169196 22528 592716 5760 1048572 0 1048572 0 0 68 0 0 115896 2049 343 15105 0 0 0 0 38816 281 13 0 12 24 0 0 0 0 0 23 21 2 5 0 0 0 0 0 5 56 62 2049 343 2391 0 0 0 103556 2496 2 28342 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0 0 762 794 338 141 60 22 8 6 6 9 84
20160723 11:27:40 16 0 14 3 0 1 0 66 31 0 0 1147 1036 54 576 3 0.58 0.84 0.91 2 0 1274784 878984 395800 119148 10536 488484 87780 92028 170928 22528 597696 5760 1048572 0 1048572 0 0 36 0 0 116920 4095 302 19600 0 0 0 0 38856 285 15 0 13 26 3 0 0 0 0 16 13 2 4 0 0 0 0 0 11 33 43 4095 302 4397 0 0 0 103580 2592 2 28366 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 704 623 273 80 66 22 11 5 6 9 84
################################################################################
