20170502 18:33:06 I-V4.1.0-1 Beginning execution on dhcp10859...
20170502 18:33:06 W--sx disabled because 'lspci' not in /usr/bin/lspci or '/usr/sbin' or '/usr/bin'
20170502 18:33:06 W-If somewhere else, move it or define in collectl.conf
20170502 18:33:06 I-First log rollover will be: 20170503 00:00:00
20170502 18:33:06 I-Waiting 3483664 usecs for time alignment
20170502 18:33:19 F-Error: a daemonized collectl already running
20170502 18:33:19 F-Error: a daemonized collectl already running
20170503 00:00:00 I-Logs rolled
20170504 00:00:00 I-Logs rolled
20170504 06:02:23 F-Error: a daemonized collectl already running
20170504 06:04:05 F-Error: a daemonized collectl already running
20170504 06:04:06 F-Error: a daemonized collectl already running
20170504 06:05:12 F-Error: a daemonized collectl already running
20170504 06:08:15 F-Error: a daemonized collectl already running
20170504 06:09:32 F-Error: a daemonized collectl already running
20170504 06:11:30 F-Error: a daemonized collectl already running
20170504 06:12:56 F-Error: a daemonized collectl already running
20170504 06:15:21 F-Error: a daemonized collectl already running
20170504 06:17:16 F-Error: a daemonized collectl already running
20170504 06:18:50 F-Error: a daemonized collectl already running
20170504 06:20:52 F-Error: a daemonized collectl already running
20170504 06:23:23 F-Error: a daemonized collectl already running
20170504 06:26:05 F-Error: a daemonized collectl already running
20170504 06:28:45 F-Error: a daemonized collectl already running
20170504 06:32:02 F-Error: a daemonized collectl already running
20170504 06:34:25 F-Error: a daemonized collectl already running
20170504 06:36:34 F-Error: a daemonized collectl already running
20170504 06:38:10 F-Error: a daemonized collectl already running
20170504 06:38:10 F-Error: a daemonized collectl already running
20170504 06:40:52 F-Error: a daemonized collectl already running
20170504 06:40:52 F-Error: a daemonized collectl already running
