################################################################################
# Collectl:   V4.1.0-1  HiRes: 1  Options: -D /etc/collectl.conf 
# Host:       dhcp3385  DaemonOpts: -P -f /var/www/html/des20/Data -r00:00,7 -m -F5  -oz
# Booted:     1486812512 [20170211-13:28:32]
# Distro:     CentOS Linux release 7.2.1511 (Core)   Platform: VirtualBox
# Date:       20170211-133239  Secs: 1486812759 TZ: +0200
# SubSys:     bcdfijmnst Options: z Interval: 10 NumCPUs: 1  NumBud: 2 Flags: i
# Filters:    NfsFilt:  EnvFilt:  TcpFilt: ituc
# HZ:         100  Arch: x86_64-linux-thread-multi PageSize: 4096
# Cpu:        GenuineIntel Speed(MHz): 2194.914 Cores: 1  Siblings: 1 Nodes: 1
# Kernel:     3.10.0-327.36.3.el7.x86_64  Memory: 1016848 kB  Swap: 1108988 kB
# NumDisks:   2 DiskNames: sda sdb
# NumNets:    2 NetNames: enp0s8:1000 lo:??
# SCSI:       CD:1:00:00:00 DA:2:00:00:00 DA:3:00:00:00
################################################################################
#Date Time [CPU]User% [CPU]Nice% [CPU]Sys% [CPU]Wait% [CPU]Irq% [CPU]Soft% [CPU]Steal% [CPU]Idle% [CPU]Totl% [CPU]Guest% [CPU]GuestN% [CPU]Intrpt/sec [CPU]Ctx/sec [CPU]Proc/sec [CPU]ProcQue [CPU]ProcRun [CPU]L-Avg1 [CPU]L-Avg5 [CPU]L-Avg15 [CPU]RunTot [CPU]BlkTot [MEM]Tot [MEM]Used [MEM]Free [MEM]Shared [MEM]Buf [MEM]Cached [MEM]Slab [MEM]Map [MEM]Anon [MEM]AnonH [MEM]Commit [MEM]Locked [MEM]SwapTot [MEM]SwapUsed [MEM]SwapFree [MEM]SwapIn [MEM]SwapOut [MEM]Dirty [MEM]Clean [MEM]Laundry [MEM]Inactive [MEM]PageIn [MEM]PageOut [MEM]PageFaults [MEM]PageMajFaults [MEM]HugeTotal [MEM]HugeFree [MEM]HugeRsvd [MEM]SUnreclaim [SOCK]Used [SOCK]Tcp [SOCK]Orph [SOCK]Tw [SOCK]Alloc [SOCK]Mem [SOCK]Udp [SOCK]Raw [SOCK]Frag [SOCK]FragMem [NET]RxPktTot [NET]TxPktTot [NET]RxKBTot [NET]TxKBTot [NET]RxCmpTot [NET]RxMltTot [NET]TxCmpTot [NET]RxErrsTot [NET]TxErrsTot [DSK]ReadTot [DSK]WriteTot [DSK]OpsTot [DSK]ReadKBTot [DSK]WriteKBTot [DSK]KbTot [DSK]ReadMrgTot [DSK]WriteMrgTot [DSK]MrgTot [INODE]NumDentry [INODE]openFiles [INODE]MaxFile% [INODE]used [NFS]ReadsS [NFS]WritesS [NFS]MetaS [NFS]CommitS [NFS]Udp [NFS]Tcp [NFS]TcpConn [NFS]BadAuth [NFS]BadClient [NFS]ReadsC [NFS]WritesC [NFS]MetaC [NFS]CommitC [NFS]Retrans [NFS]AuthRef [TCP]IpErr [TCP]TcpErr [TCP]UdpErr [TCP]IcmpErr [TCP]Loss [TCP]FTrans [BUD]1Page [BUD]2Pages [BUD]4Pages [BUD]8Pages [BUD]16Pages [BUD]32Pages [BUD]64Pages [BUD]128Pages [BUD]256Pages [BUD]512Pages [BUD]1024Pages
20170211 13:32:50 15 0 10 11 0 0 0 64 25 0 0 466 720 54 236 1 1.18 0.80 0.34 1 1 1016848 873424 143424 61376 27672 561656 89360 85300 144560 18432 484988 5388 1108988 0 1108988 0 0 30108 0 0 232920 3700 31 22990 0 0 0 0 34912 290 9 0 27 19 0 0 0 0 0 0 1 0 0 0 0 0 0 0 9 4 13 3700 31 3731 0 0 0 69385 2112 2 36739 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 473 245 118 157 161 84 40 12 7 3 20
20170211 13:33:00 24 0 11 7 0 0 0 57 35 0 0 572 816 68 247 1 1.23 0.82 0.35 1 0 1016848 911748 105100 63172 27672 573696 90976 91796 164572 18432 544944 5388 1108988 0 1108988 0 0 30220 0 0 242460 2857 42 33200 5 0 0 0 36160 300 9 0 21 23 0 0 0 0 0 0 0 0 0 0 0 0 0 0 22 6 28 2857 42 2899 0 0 0 69791 2432 2 37001 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 21 3 14 10 8 6 29 13 5 3 19
20170211 13:33:10 22 1 16 12 0 2 0 47 42 0 0 899 993 68 264 5 1.49 0.89 0.38 5 0 1016848 952812 64036 63172 27672 573824 94120 93260 192276 18432 695252 5388 1108988 0 1108988 0 0 112 0 0 242148 3687 3290 27796 0 0 0 0 39200 310 9 0 22 33 0 0 0 0 0 80 74 18 26 0 0 0 0 0 9 134 143 3687 3290 6977 0 218 218 69949 2528 3 37133 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 25 22 15 11 11 8 4 4 1 4 12
20170211 13:33:20 11 4 17 7 0 0 0 60 33 0 0 619 1024 126 249 1 1.26 0.86 0.38 1 0 1016848 914660 102188 63172 27672 560376 97164 92048 168992 18432 608020 5388 1108988 0 1108988 0 0 220 0 0 236612 1875 41 48543 0 0 0 0 38412 304 9 0 22 27 0 0 0 0 0 25 18 6 3 0 0 0 0 0 5 6 12 1875 41 1916 0 0 0 89082 2432 2 36694 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1083 622 338 208 123 46 22 16 2 3 11
20170211 13:33:30 13 4 16 5 0 0 0 63 32 0 0 579 1059 123 257 2 1.06 0.83 0.37 1 0 1016848 918956 97892 63172 27672 560396 97248 92544 172264 18432 613568 5388 1108988 0 1108988 0 0 228 0 0 236052 1843 18 46569 0 0 0 0 38488 304 9 0 14 27 0 0 0 0 0 17 11 4 3 0 0 0 0 0 4 4 8 1843 18 1861 0 0 0 89216 2464 2 36696 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 229 509 328 198 127 44 22 15 3 3 11
20170211 13:33:40 7 4 13 4 0 0 0 72 24 0 0 479 855 113 252 1 0.90 0.80 0.37 1 0 1016848 919692 97156 63172 27672 560416 97272 92564 173080 18432 614192 5388 1108988 0 1108988 0 0 144 0 0 233996 1229 124 41930 0 0 0 0 38516 304 9 0 4 28 0 0 0 0 0 15 10 4 2 0 0 0 0 0 3 12 15 1229 124 1352 0 4 4 89197 2464 2 36667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 226 368 336 202 129 42 21 14 2 4 11
20170211 13:33:50 8 4 15 4 0 0 0 68 28 0 0 524 885 116 252 2 0.91 0.81 0.38 2 0 1016848 924508 92340 63172 27672 560480 100808 92576 174176 18432 615524 5388 1108988 0 1108988 0 0 152 0 0 233532 1229 29 43235 0 0 0 0 38372 303 9 0 6 27 0 0 0 0 0 22 16 6 3 0 0 0 0 0 3 6 9 1229 29 1258 0 0 0 109266 2464 2 36681 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 203 243 324 204 133 38 20 14 3 4 10
################################################################################
# Collectl:   V4.1.0-1  HiRes: 1  Options: -D /etc/collectl.conf 
# Host:       dhcp3385  DaemonOpts: -P -f /var/www/html/des20/Data -r00:00,7 -m -F5  -oz
