################################################################################
# Collectl:   V4.1.0-1  HiRes: 1  Options: -D /etc/collectl.conf 
# Host:       dhcp3385  DaemonOpts: -P -f /var/www/html/des20/Data -r00:00,7 -m -F5  -oz
# Booted:     1487340693.12 [20170217-16:11:33]
# Distro:     CentOS Linux release 7.2.1511 (Core)   Platform: VirtualBox
# Date:       20170217-161216  Secs: 1487340736 TZ: +0200
# SubSys:     bcdfijmnst Options: z Interval: 10 NumCPUs: 1  NumBud: 2 Flags: i
# Filters:    NfsFilt:  EnvFilt:  TcpFilt: ituc
# HZ:         100  Arch: x86_64-linux-thread-multi PageSize: 4096
# Cpu:        GenuineIntel Speed(MHz): 2194.914 Cores: 1  Siblings: 1 Nodes: 1
# Kernel:     3.10.0-327.36.3.el7.x86_64  Memory: 1016848 kB  Swap: 1108988 kB
# NumDisks:   3 DiskNames: sda sdb sdc
# NumNets:    2 NetNames: enp0s8:1000 lo:??
# SCSI:       CD:1:00:00:00 DA:2:00:00:00 DA:3:00:00:00 DA:4:00:00:00
################################################################################
#Date Time [CPU]User% [CPU]Nice% [CPU]Sys% [CPU]Wait% [CPU]Irq% [CPU]Soft% [CPU]Steal% [CPU]Idle% [CPU]Totl% [CPU]Guest% [CPU]GuestN% [CPU]Intrpt/sec [CPU]Ctx/sec [CPU]Proc/sec [CPU]ProcQue [CPU]ProcRun [CPU]L-Avg1 [CPU]L-Avg5 [CPU]L-Avg15 [CPU]RunTot [CPU]BlkTot [MEM]Tot [MEM]Used [MEM]Free [MEM]Shared [MEM]Buf [MEM]Cached [MEM]Slab [MEM]Map [MEM]Anon [MEM]AnonH [MEM]Commit [MEM]Locked [MEM]SwapTot [MEM]SwapUsed [MEM]SwapFree [MEM]SwapIn [MEM]SwapOut [MEM]Dirty [MEM]Clean [MEM]Laundry [MEM]Inactive [MEM]PageIn [MEM]PageOut [MEM]PageFaults [MEM]PageMajFaults [MEM]HugeTotal [MEM]HugeFree [MEM]HugeRsvd [MEM]SUnreclaim [SOCK]Used [SOCK]Tcp [SOCK]Orph [SOCK]Tw [SOCK]Alloc [SOCK]Mem [SOCK]Udp [SOCK]Raw [SOCK]Frag [SOCK]FragMem [NET]RxPktTot [NET]TxPktTot [NET]RxKBTot [NET]TxKBTot [NET]RxCmpTot [NET]RxMltTot [NET]TxCmpTot [NET]RxErrsTot [NET]TxErrsTot [DSK]ReadTot [DSK]WriteTot [DSK]OpsTot [DSK]ReadKBTot [DSK]WriteKBTot [DSK]KbTot [DSK]ReadMrgTot [DSK]WriteMrgTot [DSK]MrgTot [INODE]NumDentry [INODE]openFiles [INODE]MaxFile% [INODE]used [NFS]ReadsS [NFS]WritesS [NFS]MetaS [NFS]CommitS [NFS]Udp [NFS]Tcp [NFS]TcpConn [NFS]BadAuth [NFS]BadClient [NFS]ReadsC [NFS]WritesC [NFS]MetaC [NFS]CommitC [NFS]Retrans [NFS]AuthRef [TCP]IpErr [TCP]TcpErr [TCP]UdpErr [TCP]IcmpErr [TCP]Loss [TCP]FTrans [BUD]1Page [BUD]2Pages [BUD]4Pages [BUD]8Pages [BUD]16Pages [BUD]32Pages [BUD]64Pages [BUD]128Pages [BUD]256Pages [BUD]512Pages [BUD]1024Pages
20170217 16:12:30 31 0 18 16 0 3 0 32 52 0 0 1282 1270 74 573 4 0.75 0.25 0.09 3 0 1016848 475248 541600 61628 25620 198216 41784 84984 146308 6144 544152 5752 1108988 0 1108988 0 0 412 0 0 119376 16675 112 32635 5 0 0 0 23088 287 9 0 7 22 5 0 0 0 0 149 135 32 50 0 0 0 0 0 55 16 71 16627 162 16789 0 0 0 23892 2272 2 17737 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 500 388 241 149 46 15 3 4 2 5 124
20170217 16:12:40 9 0 9 15 0 1 0 67 18 0 0 506 792 56 563 1 0.71 0.26 0.09 1 0 1016848 472776 544072 61628 25620 198268 41672 85052 145020 6144 532704 5752 1108988 0 1108988 0 0 420 0 0 118380 14774 160 19759 0 0 0 0 22956 285 9 0 7 21 1 0 0 0 0 5 3 1 1 0 0 0 0 0 36 21 57 14749 186 14934 0 3 3 23862 2240 2 17707 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 302 336 247 153 70 24 6 4 2 5 124
20170217 16:12:50 7 0 6 6 0 0 0 81 13 0 0 345 521 33 561 1 0.75 0.28 0.10 1 0 1016848 470316 546532 61628 23572 198272 41608 85040 144708 6144 531888 5752 1108988 0 1108988 0 0 260 0 0 117356 6190 65 12146 0 0 0 0 22892 285 9 0 7 21 1 0 0 0 0 4 2 1 1 0 0 0 0 0 15 10 26 6144 112 6256 0 0 0 23858 2240 2 17703 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 377 366 308 163 74 27 6 4 2 5 124
20170217 16:13:00 9 0 8 6 0 0 0 76 18 0 0 442 732 45 570 1 0.63 0.27 0.10 1 1 1016848 478000 538848 61628 26132 198264 41616 85572 149316 10240 538032 5752 1108988 0 1108988 0 0 152 0 0 118864 10314 41 16887 0 0 0 0 22900 285 9 0 7 21 8 0 0 0 0 6 3 1 1 0 0 0 0 0 25 6 31 10240 64 10304 0 0 0 23865 2272 2 17709 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 23 251 273 136 73 27 5 5 2 5 123
20170217 16:13:10 7 0 5 6 0 0 0 82 12 0 0 368 566 35 561 1 0.54 0.26 0.10 1 0 1016848 475268 541580 61628 23572 198276 41608 85048 149824 16384 532160 5752 1108988 0 1108988 0 0 20 0 0 117348 8186 80 12721 0 0 0 0 22892 284 9 0 5 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 20 11 31 8191 126 8317 0 0 0 23858 2240 2 17702 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 509 427 342 171 82 42 6 6 2 4 122
20170217 16:13:20 8 0 6 4 0 0 0 82 14 0 0 360 547 42 569 1 0.85 0.34 0.13 1 1 1016848 481212 535636 61628 26132 198288 41620 85476 152500 18432 537648 5752 1108988 0 1108988 0 0 28 0 0 118776 7448 27 13987 0 0 0 0 22904 285 9 0 5 21 8 0 0 0 0 1 1 0 0 0 0 0 0 0 18 5 23 7374 51 7424 0 0 0 23866 2272 2 17708 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 155 378 298 133 82 41 8 5 2 5 121
20170217 16:13:30 7 0 6 7 0 0 0 80 13 0 0 376 620 37 561 1 0.87 0.36 0.14 1 0 1016848 476140 540708 61628 23572 198280 41604 85056 150436 20480 532160 5752 1108988 0 1108988 0 0 12 0 0 117260 11054 52 13307 0 0 0 0 22888 284 9 0 0 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 27 9 36 11059 99 11158 0 0 0 23860 2240 2 17702 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 505 464 374 183 94 48 10 5 2 4 121
20170217 16:13:40 7 0 6 4 0 0 0 83 14 0 0 349 516 40 568 1 1.03 0.41 0.16 1 0 1016848 477916 538932 61628 23572 198280 41624 85060 151672 20480 534780 5752 1108988 0 1108988 0 0 16 0 0 117264 6167 35 14292 0 0 0 0 22908 285 9 0 0 21 2 0 0 0 0 0 0 0 0 0 0 0 0 0 15 6 21 6144 58 6202 0 0 0 23862 2272 2 17705 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 303 419 370 176 85 48 9 6 2 4 121
20170217 16:13:50 8 0 8 7 0 1 0 76 17 0 0 421 631 40 561 1 0.87 0.40 0.15 1 0 1016848 476148 540700 61628 23572 198280 41608 85092 150448 20480 532160 5752 1108988 0 1108988 0 0 16 0 0 117260 12333 49 14273 0 0 0 0 22892 284 9 0 0 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 9 39 12287 96 12382 0 0 0 23860 2240 2 17702 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 499 440 375 183 93 46 10 6 2 4 121
20170217 16:14:00 15 0 10 6 0 0 0 69 25 0 0 489 658 31 561 1 0.90 0.42 0.16 1 0 1016848 482348 534500 61600 23572 201180 41628 86220 153408 20480 534528 5752 1108988 0 1108988 0 0 52 0 0 119852 6458 34 15656 1 0 0 0 22912 292 9 0 0 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 17 6 23 6435 57 6492 0 0 0 23875 2336 2 17706 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 359 291 433 174 38 42 10 6 1 4 121
20170217 16:14:10 13 0 10 8 0 1 0 68 24 0 0 540 700 47 565 1 0.76 0.41 0.16 1 0 1016848 485040 531808 61600 25620 201240 41724 86272 153716 20480 535348 5752 1108988 0 1108988 0 0 80 0 0 120892 12314 72 18521 0 0 0 0 22992 289 9 0 0 21 2 0 0 0 0 0 0 0 0 0 0 0 0 0 30 12 42 12290 95 12385 0 1 1 23899 2336 2 17731 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 588 335 381 120 42 29 10 6 1 4 121
20170217 16:14:20 7 0 5 4 0 0 0 83 12 0 0 347 499 29 561 1 0.64 0.39 0.16 1 0 1016848 482400 534448 61600 23572 201240 41660 86260 153416 20480 534532 5752 1108988 0 1108988 0 0 84 0 0 119852 6190 49 10796 0 0 0 0 22928 287 9 0 0 20 0 0 0 0 0 1 1 0 0 0 0 0 0 0 15 8 23 6143 95 6239 0 0 0 23888 2336 2 17717 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 574 339 450 150 45 32 10 6 1 4 121
20170217 16:14:30 8 0 7 9 0 0 0 76 15 0 0 390 572 40 570 2 0.70 0.41 0.17 2 1 1016848 487856 528992 61600 26132 201228 41672 86784 155588 20480 540404 5752 1108988 0 1108988 0 0 28 0 0 121332 9546 34 14548 0 0 0 0 22940 288 9 0 0 21 8 0 0 0 0 0 0 0 0 0 0 0 0 0 23 5 29 9523 57 9580 0 0 0 23891 2368 2 17720 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 170 373 141 40 32 10 6 1 4 121
20170217 16:14:40 7 0 7 6 0 0 0 80 13 0 0 374 545 31 561 1 0.60 0.40 0.17 1 0 1016848 482404 534444 61604 23572 201244 41648 86280 153448 20480 534532 5752 1108988 0 1108988 0 0 16 0 0 119852 8955 67 11478 0 0 0 0 22916 287 9 0 0 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 22 11 33 8909 114 9022 0 0 0 23884 2336 2 17713 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 441 326 460 155 44 35 10 6 1 4 121
20170217 16:14:50 7 0 5 4 0 0 0 84 12 0 0 355 492 34 569 2 0.66 0.42 0.17 2 0 1016848 498516 518332 61600 25620 201240 41720 87044 166860 20480 550492 5752 1108988 0 1108988 0 0 12 0 0 120880 6570 28 12425 0 0 0 0 22988 289 9 0 0 21 2 0 0 0 0 0 0 0 0 0 0 0 0 0 16 5 21 6546 51 6597 0 0 0 23889 2432 2 17719 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 4 27 29 31 35 10 6 1 4 121
20170217 16:15:00 7 0 6 8 0 0 0 79 13 0 0 398 723 36 561 1 0.56 0.41 0.17 1 0 1016848 482624 534224 61600 23572 201244 41656 86272 153736 20480 534532 5752 1108988 0 1108988 0 0 28 0 0 119856 11938 49 13549 0 0 0 0 22924 287 9 0 0 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 29 9 38 11891 96 11987 0 0 0 23884 2336 2 17713 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 502 279 460 156 42 35 10 6 1 4 121
20170217 16:15:10 7 0 6 4 0 0 0 84 13 0 0 370 501 35 568 1 0.55 0.41 0.18 1 0 1016848 484444 532404 61600 23572 201244 41656 86276 154960 20480 537152 5752 1108988 0 1108988 0 0 28 0 0 119856 6167 33 12997 0 0 0 0 22924 288 9 0 0 21 2 0 0 0 0 0 0 0 0 0 0 0 0 0 15 6 21 6144 56 6200 0 0 0 23886 2368 2 17716 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 189 248 452 152 41 35 10 6 1 4 121
20170217 16:15:20 7 0 6 8 0 0 0 78 14 0 0 390 608 35 561 6 0.47 0.39 0.17 6 0 1016848 482764 534084 61600 23572 201244 41660 86272 153848 20480 534532 5752 1108988 0 1108988 0 0 28 0 0 119852 12298 50 12898 0 0 0 0 22928 293 9 0 0 26 6 0 0 0 0 3 2 0 1 0 0 0 0 0 30 9 39 12251 96 12347 0 0 0 23892 2336 2 17719 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 581 340 460 152 39 30 10 6 1 4 121
20170217 16:15:30 7 0 5 7 0 0 0 81 12 0 0 376 530 35 569 1 0.39 0.38 0.17 1 0 1016848 486852 529996 61600 23572 201900 41844 86300 155392 20480 544252 5752 1108988 0 1108988 0 0 24 0 0 120504 6259 29 12970 2 0 0 0 23096 294 9 0 1 27 2 0 0 0 0 39 57 4 88 0 0 0 0 0 18 5 23 6236 53 6288 0 0 0 23916 2368 2 17743 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 132 130 461 134 39 32 11 7 2 3 121
20170217 16:15:40 6 1 7 12 0 1 0 74 14 0 0 446 689 40 561 1 0.33 0.37 0.17 1 0 1016848 484252 532596 61600 23572 203000 41864 85460 152340 20480 538584 5752 1108988 0 1108988 0 0 44 0 0 120964 12442 77 15199 2 0 0 0 23060 286 9 0 8 22 1 0 0 0 0 59 101 6 228 0 0 0 0 0 33 12 45 12396 124 12520 0 1 1 23926 2240 2 17750 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 433 320 465 129 36 29 9 5 2 4 121
20170217 16:15:50 7 0 7 6 0 0 0 79 14 0 0 427 617 44 570 2 0.36 0.37 0.17 2 0 1016848 487104 529744 61600 23572 203556 42000 85280 153796 20480 541528 5752 1108988 0 1108988 0 0 24 0 0 121188 6223 35 16956 1 0 0 0 23144 289 9 0 10 26 2 0 0 0 0 38 58 5 100 0 0 0 0 0 17 6 23 6199 58 6257 0 0 0 23959 2240 2 17775 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 386 261 374 109 37 30 10 6 3 3 121
20170217 16:16:00 17 11 38 6 0 1 0 27 67 0 0 1302 2168 231 561 1 0.38 0.38 0.18 1 0 1016848 487516 529332 61632 25620 203720 42008 85400 152460 20480 537656 5752 1108988 0 1108988 0 0 92 0 0 122008 12318 67 87884 0 0 0 0 23136 287 9 0 21 24 0 0 0 0 0 14 9 4 3 0 0 0 0 0 30 12 43 12295 90 12385 0 0 0 24028 2208 2 17770 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 590 384 368 112 34 24 11 7 3 4 120
20170217 16:16:10 17 13 41 2 0 1 0 26 72 0 0 1453 2589 315 562 1 0.56 0.41 0.19 1 0 1016848 487140 529708 61632 23572 203912 42112 85544 153552 20480 539484 5752 1108988 0 1108988 0 0 128 0 0 120804 6191 140 119498 0 0 0 0 23172 286 9 0 39 23 0 0 0 0 0 18 10 5 3 0 0 0 0 0 15 23 38 6145 187 6331 0 2 2 24234 2272 2 17840 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 554 235 423 118 46 25 10 9 4 3 120
20170217 16:16:20 16 14 42 4 0 1 0 24 73 0 0 1522 2712 324 572 1 0.78 0.47 0.21 1 1 1016848 494608 522240 61628 25620 205632 42632 86128 155744 20480 545356 5752 1108988 0 1108988 0 0 120 0 0 123360 12076 92 122638 1 0 0 0 23256 287 9 0 56 24 8 0 0 0 0 21 12 6 4 0 0 0 0 0 34 16 49 12053 116 12169 0 0 0 24678 2272 2 18149 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 238 195 305 100 47 20 9 6 5 4 119
20170217 16:16:30 16 14 40 1 0 1 0 28 71 0 0 1420 2632 322 565 2 0.66 0.45 0.21 2 0 1016848 490828 526020 61628 23572 205772 42676 85780 154436 20480 541040 5752 1108988 0 1108988 0 0 112 0 0 122336 6599 111 122669 0 0 0 0 23272 286 9 0 69 23 0 0 0 0 0 21 13 6 4 0 0 0 0 0 16 19 35 6552 157 6709 0 0 0 24781 2272 2 18145 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 489 230 365 115 43 20 8 7 4 5 119
20170217 16:16:40 15 12 38 2 0 1 0 33 65 0 0 1329 2467 308 565 5 0.88 0.50 0.23 4 0 1016848 500304 516544 61628 25620 205920 42672 85960 161444 20480 550864 5752 1108988 0 1108988 0 0 148 0 0 123780 6572 119 115757 0 0 0 0 23276 287 9 0 84 24 2 0 0 0 0 24 15 6 4 0 0 0 0 0 16 20 36 6548 142 6690 0 1 1 24863 2304 2 18125 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 16 39 44 123 51 19 8 4 4 5 119
