################################################################################
# Collectl:   V4.0.4-1  HiRes: 1  Options: -P -f /var/log/collectl -r00:00,7 -m -F60 -s+YZ 
# Host:       topstorlin  DaemonOpts: 
# Booted:     1468999372.75 [20160720-10:22:52]
# Distro:     CentOS Linux release 7.2.1511 (Core)   Platform: VirtualBox
# Date:       20160720-214544  Secs: 1469040344 TZ: +0300
# SubSys:     cdnYZ Options:  Interval: 1:60 NumCPUs: 2  NumBud: 0 Flags: ix
# Filters:    NfsFilt:  EnvFilt:  TcpFilt: ituc
# HZ:         100  Arch: x86_64-linux-thread-multi PageSize: 4096
# Cpu:        GenuineIntel Speed(MHz): 2194.920 Cores: 2  Siblings: 2 Nodes: 1
# Kernel:     3.10.0-327.18.2.el7.x86_64  Memory: 1274784 kB  Swap: 1048572 kB
# NumDisks:   2 DiskNames: sda sdb
# NumNets:    4 NetNames: enp0s3:1000 enp0s8:1000 enp0s9:1000 lo:??
# NumSlabs:   113 Version: 2.1
# SCSI:       DA:0:00:00:00 CD:2:00:00:00 DA:3:00:00:00
################################################################################
#Date Time [CPU]User% [CPU]Nice% [CPU]Sys% [CPU]Wait% [CPU]Irq% [CPU]Soft% [CPU]Steal% [CPU]Idle% [CPU]Totl% [CPU]Guest% [CPU]GuestN% [CPU]Intrpt/sec [CPU]Ctx/sec [CPU]Proc/sec [CPU]ProcQue [CPU]ProcRun [CPU]L-Avg1 [CPU]L-Avg5 [CPU]L-Avg15 [CPU]RunTot [CPU]BlkTot [NET]RxPktTot [NET]TxPktTot [NET]RxKBTot [NET]TxKBTot [NET]RxCmpTot [NET]RxMltTot [NET]TxCmpTot [NET]RxErrsTot [NET]TxErrsTot [DSK]ReadTot [DSK]WriteTot [DSK]OpsTot [DSK]ReadKBTot [DSK]WriteKBTot [DSK]KbTot [DSK]ReadMrgTot [DSK]WriteMrgTot [DSK]MrgTot
20160720 21:45:47 45 0 11 6 0 2 0 36 58 0 0 1849 1339 25 570 0 1.51 1.13 0.98 0 0 13 11 1 4 0 0 0 0 0 0 154 154 0 1320 1320 0 0 0
20160720 21:45:48 26 0 6 0 0 1 0 67 33 0 0 1030 697 10 570 0 1.51 1.13 0.98 0 0 14 11 1 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20160720 21:45:49 45 0 5 0 0 1 0 49 51 0 0 1202 432 8 571 1 1.51 1.13 0.98 1 0 2 1 0 0 0 0 0 0 0 0 43 43 0 278 278 0 6 6
20160720 21:45:50 31 0 15 0 0 1 0 53 47 0 0 1459 1129 69 576 0 1.51 1.13 0.98 0 0 14 12 1 4 0 0 0 0 0 0 4 4 0 18 18 0 0 0
20160720 21:45:51 20 1 22 0 0 1 0 56 44 0 0 1325 966 79 579 3 1.51 1.13 0.98 2 0 17 13 2 4 0 0 0 0 0 0 1 1 0 4 4 0 0 0
20160720 21:45:52 16 0 23 14 0 3 0 44 42 0 0 1600 1614 100 571 0 1.47 1.13 0.98 0 0 17 13 2 4 0 0 0 0 0 53 10 63 20483 48 20532 0 0 0
20160720 21:45:53 24 0 4 0 0 1 0 71 29 0 0 990 709 5 571 4 1.47 1.13 0.98 3 0 19 14 2 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20160720 21:45:54 10 0 4 0 0 1 0 85 15 0 0 577 491 9 570 1 1.47 1.13 0.98 0 0 15 12 2 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20160720 21:45:55 4 0 1 0 0 0 0 95 5 0 0 271 261 4 570 1 1.47 1.13 0.98 0 0 17 13 2 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20160720 21:45:56 14 1 16 0 0 1 0 68 32 0 0 911 695 44 578 2 1.47 1.13 0.98 4 1 19 15 2 5 0 0 0 0 0 0 1 1 0 7 7 0 0 0
