################################################################################
# Collectl:   V4.0.4-1  HiRes: 1  Options: -P -f /var/log/collectl -r00:00,7 -m -F5 -oz 
# Host:       topstorlin  DaemonOpts: 
# Booted:     1468999372.39 [20160720-10:22:52]
# Distro:     CentOS Linux release 7.2.1511 (Core)   Platform: VirtualBox
# Date:       20160722-150159  Secs: 1469188919 TZ: +0300
# SubSys:     cdn Options: z Interval: 1 NumCPUs: 2  NumBud: 0 Flags: i
# Filters:    NfsFilt:  EnvFilt:  TcpFilt: ituc
# HZ:         100  Arch: x86_64-linux-thread-multi PageSize: 4096
# Cpu:        GenuineIntel Speed(MHz): 2194.920 Cores: 2  Siblings: 2 Nodes: 1
# Kernel:     3.10.0-327.18.2.el7.x86_64  Memory: 1274784 kB  Swap: 1048572 kB
# NumDisks:   2 DiskNames: sda sdb
# NumNets:    4 NetNames: enp0s3:1000 enp0s8:1000 enp0s9:1000 lo:??
# SCSI:       DA:0:00:00:00 CD:2:00:00:00 DA:3:00:00:00
################################################################################
#Date Time [CPU]User% [CPU]Nice% [CPU]Sys% [CPU]Wait% [CPU]Irq% [CPU]Soft% [CPU]Steal% [CPU]Idle% [CPU]Totl% [CPU]Guest% [CPU]GuestN% [CPU]Intrpt/sec [CPU]Ctx/sec [CPU]Proc/sec [CPU]ProcQue [CPU]ProcRun [CPU]L-Avg1 [CPU]L-Avg5 [CPU]L-Avg15 [CPU]RunTot [CPU]BlkTot [NET]RxPktTot [NET]TxPktTot [NET]RxKBTot [NET]TxKBTot [NET]RxCmpTot [NET]RxMltTot [NET]TxCmpTot [NET]RxErrsTot [NET]TxErrsTot [DSK]ReadTot [DSK]WriteTot [DSK]OpsTot [DSK]ReadKBTot [DSK]WriteKBTot [DSK]KbTot [DSK]ReadMrgTot [DSK]WriteMrgTot [DSK]MrgTot
20160722 15:01:59 18 1 24 0 0 1 0 56 44 0 0 0 0 0 579 8 0.51 0.86 0.91 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
################################################################################
# Collectl:   V4.0.4-1  HiRes: 1  Options: -P -f /var/log/collectl -r00:00,7 -m -F5 -oz 
# Host:       topstorlin  DaemonOpts: 
# Booted:     1468999372.39 [20160720-10:22:52]
# Distro:     CentOS Linux release 7.2.1511 (Core)   Platform: VirtualBox
# Date:       20160722-150200  Secs: 1469188920 TZ: +0300
# SubSys:     cdn Options: z Interval: 1 NumCPUs: 2  NumBud: 0 Flags: i
# Filters:    NfsFilt:  EnvFilt:  TcpFilt: ituc
# HZ:         100  Arch: x86_64-linux-thread-multi PageSize: 4096
# Cpu:        GenuineIntel Speed(MHz): 2194.920 Cores: 2  Siblings: 2 Nodes: 1
# Kernel:     3.10.0-327.18.2.el7.x86_64  Memory: 1274784 kB  Swap: 1048572 kB
# NumDisks:   2 DiskNames: sda sdb
# NumNets:    4 NetNames: enp0s3:1000 enp0s8:1000 enp0s9:1000 lo:??
# SCSI:       DA:0:00:00:00 CD:2:00:00:00 DA:3:00:00:00
################################################################################
#Date Time [CPU]User% [CPU]Nice% [CPU]Sys% [CPU]Wait% [CPU]Irq% [CPU]Soft% [CPU]Steal% [CPU]Idle% [CPU]Totl% [CPU]Guest% [CPU]GuestN% [CPU]Intrpt/sec [CPU]Ctx/sec [CPU]Proc/sec [CPU]ProcQue [CPU]ProcRun [CPU]L-Avg1 [CPU]L-Avg5 [CPU]L-Avg15 [CPU]RunTot [CPU]BlkTot [NET]RxPktTot [NET]TxPktTot [NET]RxKBTot [NET]TxKBTot [NET]RxCmpTot [NET]RxMltTot [NET]TxCmpTot [NET]RxErrsTot [NET]TxErrsTot [DSK]ReadTot [DSK]WriteTot [DSK]OpsTot [DSK]ReadKBTot [DSK]WriteKBTot [DSK]KbTot [DSK]ReadMrgTot [DSK]WriteMrgTot [DSK]MrgTot
20160722 15:02:00 20 0 32 0 0 4 0 45 55 0 0 1908 1775 163 576 1 0.51 0.86 0.91 1 0 3 3 0 1 0 0 0 0 0 0 10 10 0 101 101 0 0 0
20160722 15:02:01 32 1 9 0 0 1 0 58 42 0 0 1385 952 25 579 5 0.54 0.87 0.91 4 0 14 13 1 4 0 0 0 0 0 0 1 1 0 4 4 0 0 0
20160722 15:02:02 40 0 37 7 0 6 0 10 83 0 0 2905 2928 123 580 4 0.54 0.87 0.91 3 1 15 17 2 4 0 0 0 0 0 53 186 239 20483 489 20972 0 0 0
20160722 15:02:03 6 0 8 4 0 2 0 80 16 0 0 962 1197 40 577 0 0.54 0.87 0.91 0 0 37 34 4 6 0 0 0 0 0 0 130 130 0 2334 2334 0 0 0
20160722 15:02:04 5 0 3 0 0 0 0 92 8 0 0 436 476 15 571 0 0.54 0.87 0.91 0 0 37 34 4 6 0 0 0 0 0 0 1 1 0 4 4 0 0 0
20160722 15:02:05 35 1 25 0 0 1 0 38 62 0 0 1860 2285 82 575 1 0.54 0.87 0.91 1 0 15 13 2 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20160722 15:02:06 9 0 4 0 0 0 0 88 12 0 0 498 435 9 573 3 0.50 0.85 0.91 3 0 17 14 2 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20160722 15:02:07 50 0 17 7 0 6 0 21 72 0 0 2213 1786 6 571 4 0.50 0.85 0.91 4 1 78 371 5 676 0 0 0 0 0 0 111 111 0 248 248 0 0 0
20160722 15:02:08 21 0 18 4 0 3 0 54 42 0 0 1559 1492 69 577 1 0.50 0.85 0.91 0 0 28 26 3 8 0 0 0 0 0 0 94 94 0 188 188 0 0 0
20160722 15:02:09 7 0 7 0 0 3 0 83 17 0 0 765 631 48 576 2 0.50 0.85 0.91 0 0 13 11 1 4 0 0 0 0 0 0 155 155 0 1542 1542 0 53 53
20160722 15:02:10 11 0 17 13 0 2 0 57 31 0 0 1409 1444 75 573 3 0.50 0.85 0.91 2 0 12 10 1 4 0 0 0 0 0 53 8 61 20483 35 20518 0 0 0
20160722 15:02:11 12 1 19 0 0 1 0 67 33 0 0 1083 800 60 572 0 0.62 0.87 0.91 0 0 13 11 1 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20160722 15:02:12 4 0 3 7 0 2 0 84 9 0 0 892 1621 4 572 1 0.62 0.87 0.91 1 1 13 11 1 4 0 0 0 0 0 0 258 258 0 2188 2188 0 0 0
20160722 15:02:13 27 0 6 5 0 1 0 62 33 0 0 1293 1037 10 572 1 0.62 0.87 0.91 0 0 13 12 1 4 0 0 0 0 0 0 34 34 0 503 503 0 0 0
20160722 15:02:14 3 0 1 0 0 1 0 95 5 0 0 256 275 3 572 2 0.62 0.87 0.91 2 0 19 15 2 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20160722 15:02:15 9 0 8 0 0 0 0 83 17 0 0 817 888 62 577 1 0.62 0.87 0.91 0 0 17 13 2 4 0 0 0 0 0 0 4 4 0 20 20 0 0 0
20160722 15:02:16 19 6 38 6 0 3 0 29 65 0 0 2410 2756 143 580 1 0.65 0.87 0.92 0 1 17 13 2 4 0 0 0 0 0 0 228 228 0 888 888 0 0 0
20160722 15:02:17 14 4 29 21 0 7 0 25 54 0 0 2473 3586 103 576 3 0.65 0.87 0.92 3 1 18 13 2 5 0 0 0 0 0 53 419 472 20483 4252 24736 0 0 0
20160722 15:02:18 21 4 13 5 0 2 0 55 40 0 0 1411 1115 51 575 3 0.65 0.87 0.92 3 0 28 28 3 6 0 0 0 0 0 0 30 30 0 681 681 0 0 0
20160722 15:02:19 8 2 9 0 0 1 0 82 18 0 0 772 674 50 571 1 0.65 0.87 0.92 0 0 20 16 2 4 0 0 0 0 0 0 2 2 0 8 8 0 0 0
20160722 15:02:20 5 0 1 0 0 1 0 94 6 0 0 291 277 4 571 1 0.65 0.87 0.92 0 0 12 10 1 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20160722 15:02:21 11 1 13 0 0 1 0 75 25 0 0 988 853 68 576 1 0.68 0.87 0.92 1 0 13 13 1 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20160722 15:02:22 5 0 3 6 0 1 0 85 9 0 0 850 1346 5 572 1 0.68 0.87 0.92 0 0 37 34 3 6 0 0 0 0 0 0 160 160 0 434 434 0 0 0
20160722 15:02:23 10 0 12 1 0 1 0 77 23 0 0 921 855 65 578 1 0.68 0.87 0.92 0 0 13 11 1 4 0 0 0 0 0 0 4 4 0 26 26 0 0 0
20160722 15:02:24 33 0 20 4 0 2 0 42 55 0 0 1927 1563 87 576 0 0.68 0.87 0.92 3 0 13 12 1 4 0 0 0 0 0 30 10 40 12288 48 12336 0 0 0
20160722 15:02:25 7 0 8 9 0 1 0 75 17 0 0 870 903 39 571 1 0.68 0.87 0.92 3 0 13 12 1 4 0 0 0 0 0 23 1 24 8203 4 8207 0 0 0
20160722 15:02:26 8 0 7 0 0 0 0 85 15 0 0 585 559 55 571 0 0.63 0.86 0.91 0 0 13 11 1 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20160722 15:02:27 37 1 35 8 0 7 0 12 80 0 0 2805 2924 77 577 3 0.63 0.86 0.91 3 1 12 11 1 4 0 0 0 0 0 0 307 307 0 2772 2772 0 0 0
20160722 15:02:28 5 0 1 1 0 0 0 94 6 0 0 319 295 4 577 1 0.63 0.86 0.91 0 0 26 26 3 5 0 0 0 0 0 0 2 2 0 0 0 0 0 0
20160722 15:02:29 23 0 5 0 0 1 0 72 28 0 0 1070 769 12 578 4 0.63 0.86 0.91 2 0 36 34 4 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20160722 15:02:30 12 0 11 0 0 1 0 76 24 0 0 1003 1101 80 577 1 0.63 0.86 0.91 0 0 23 19 3 5 0 0 0 0 0 0 5 5 0 24 24 0 0 0
20160722 15:02:31 15 0 17 0 0 1 0 68 32 0 0 1022 832 113 583 6 0.58 0.85 0.91 6 0 13 11 1 4 0 0 0 0 0 0 10 10 0 48 48 0 0 0
20160722 15:02:32 13 1 24 23 0 6 0 33 44 0 0 2192 2868 67 572 0 0.58 0.85 0.91 0 0 13 11 1 4 0 0 0 0 0 53 256 309 20524 2755 23279 0 0 0
