################################################################################
# Collectl:   V4.0.4-1  HiRes: 1  Options: -D /etc/collectl.conf 
# Host:       topstorlin  DaemonOpts: -P -f /var/www/html/des20/Data -r00:00,7 -m -F5  -oz
# Booted:     1469574603.6 [20160727-02:10:03]
# Distro:     CentOS Linux release 7.2.1511 (Core)   Platform: VirtualBox
# Date:       20160727-021037  Secs: 1469574637 TZ: +0300
# SubSys:     bcdfijmnst Options: z Interval: 10 NumCPUs: 2  NumBud: 2 Flags: i
# Filters:    NfsFilt:  EnvFilt:  TcpFilt: ituc
# HZ:         100  Arch: x86_64-linux-thread-multi PageSize: 4096
# Cpu:        GenuineIntel Speed(MHz): 2194.920 Cores: 2  Siblings: 2 Nodes: 1
# Kernel:     3.10.0-327.18.2.el7.x86_64  Memory: 1274784 kB  Swap: 1048572 kB
# NumDisks:   2 DiskNames: sda sdb
# NumNets:    4 NetNames: enp0s3:1000 enp0s8:1000 enp0s9:?? lo:??
# SCSI:       CD:1:00:00:00 DA:2:00:00:00 DA:3:00:00:00
################################################################################
#Date Time [CPU]User% [CPU]Nice% [CPU]Sys% [CPU]Wait% [CPU]Irq% [CPU]Soft% [CPU]Steal% [CPU]Idle% [CPU]Totl% [CPU]Guest% [CPU]GuestN% [CPU]Intrpt/sec [CPU]Ctx/sec [CPU]Proc/sec [CPU]ProcQue [CPU]ProcRun [CPU]L-Avg1 [CPU]L-Avg5 [CPU]L-Avg15 [CPU]RunTot [CPU]BlkTot [MEM]Tot [MEM]Used [MEM]Free [MEM]Shared [MEM]Buf [MEM]Cached [MEM]Slab [MEM]Map [MEM]Anon [MEM]AnonH [MEM]Commit [MEM]Locked [MEM]SwapTot [MEM]SwapUsed [MEM]SwapFree [MEM]SwapIn [MEM]SwapOut [MEM]Dirty [MEM]Clean [MEM]Laundry [MEM]Inactive [MEM]PageIn [MEM]PageOut [MEM]PageFaults [MEM]PageMajFaults [MEM]HugeTotal [MEM]HugeFree [MEM]HugeRsvd [MEM]SUnreclaim [SOCK]Used [SOCK]Tcp [SOCK]Orph [SOCK]Tw [SOCK]Alloc [SOCK]Mem [SOCK]Udp [SOCK]Raw [SOCK]Frag [SOCK]FragMem [NET]RxPktTot [NET]TxPktTot [NET]RxKBTot [NET]TxKBTot [NET]RxCmpTot [NET]RxMltTot [NET]TxCmpTot [NET]RxErrsTot [NET]TxErrsTot [DSK]ReadTot [DSK]WriteTot [DSK]OpsTot [DSK]ReadKBTot [DSK]WriteKBTot [DSK]KbTot [DSK]ReadMrgTot [DSK]WriteMrgTot [DSK]MrgTot [INODE]NumDentry [INODE]openFiles [INODE]MaxFile% [INODE]used [NFS]ReadsS [NFS]WritesS [NFS]MetaS [NFS]CommitS [NFS]Udp [NFS]Tcp [NFS]TcpConn [NFS]BadAuth [NFS]BadClient [NFS]ReadsC [NFS]WritesC [NFS]MetaC [NFS]CommitC [NFS]Retrans [NFS]AuthRef [TCP]IpErr [TCP]TcpErr [TCP]UdpErr [TCP]IcmpErr [TCP]Loss [TCP]FTrans [BUD]1Page [BUD]2Pages [BUD]4Pages [BUD]8Pages [BUD]16Pages [BUD]32Pages [BUD]64Pages [BUD]128Pages [BUD]256Pages [BUD]512Pages [BUD]1024Pages
20160727 02:10:50 37 0 13 4 0 4 0 42 54 0 0 1852 1205 33 239 1 1.18 0.34 0.12 0 0 1274784 394712 880072 47440 880 166164 35732 64312 137944 4096 438316 5760 1048572 0 1048572 0 0 68 0 0 85984 1721 40 18452 7 0 0 0 18656 274 11 0 3 28 3 0 0 0 0 120 110 24 36 0 0 0 0 0 41 6 47 1636 40 1676 0 0 1 22048 2176 2 16255 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 190 22 174 92 47 10 7 4 3 5 208
20160727 02:11:00 17 0 13 22 0 1 0 47 31 0 0 1439 1818 129 566 4 1.24 0.37 0.13 2 1 1274784 467944 806840 64864 21528 183628 42160 83360 154772 4096 496312 5760 1048572 0 1048572 0 0 108 0 0 101248 9392 18 16159 0 0 0 0 24876 277 11 0 8 24 13 0 0 0 0 7 5 1 1 0 0 0 0 0 76 2 78 9390 18 9408 0 0 0 22117 2464 2 16317 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 73 37 16 8 5 4 2 1 5 4 193
20160727 02:11:10 23 0 17 35 0 2 0 22 43 0 0 1989 1936 37 568 6 1.75 0.51 0.18 3 1 1274784 467744 807040 63280 26776 182284 45004 80960 145408 4096 480884 5760 1048572 0 1048572 0 0 164 0 0 103380 7702 812 18979 0 0 0 0 26552 275 11 0 10 24 1 0 0 0 0 6 4 1 1 0 0 0 0 0 79 54 133 7691 812 8502 0 3 3 23460 2304 2 17618 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 28 12 154 152 61 17 8 6 6 2 190
20160727 02:11:20 7 0 8 60 0 1 0 23 17 0 0 1161 1268 20 576 4 2.01 0.61 0.21 3 1 1274784 484012 790772 64864 27704 183920 45336 83512 157464 12288 497608 5760 1048572 0 1048572 0 0 152 0 0 103316 10344 34 8986 0 0 0 0 26792 278 12 0 10 25 3 0 0 0 0 4 3 1 1 0 0 0 0 0 70 5 75 10331 34 10364 0 0 0 23539 2496 2 17694 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 95 66 59 55 42 19 13 5 6 2 187
20160727 02:11:30 14 0 26 39 0 2 0 20 42 0 0 1525 1131 33 570 7 2.45 0.75 0.26 7 1 1274784 474744 800040 63280 26008 182444 45396 80916 152192 14336 487636 5760 1048572 0 1048572 0 0 164 0 0 102620 7911 76 13066 0 0 0 0 26864 279 13 0 10 26 4 0 0 0 0 4 2 1 1 0 0 0 0 0 55 11 66 7923 76 7998 0 0 0 23518 2400 2 17675 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 15 157 189 108 28 15 4 5 4 186
20160727 02:11:40 18 0 15 44 0 2 0 20 36 0 0 1533 1493 41 572 0 2.61 0.84 0.30 0 2 1274784 486540 788244 64864 26520 184096 45616 83392 161240 16384 496412 5760 1048572 0 1048572 0 0 80 0 0 103008 8867 78 17158 0 0 0 0 27056 277 11 0 12 24 1 0 0 0 0 5 4 1 1 0 0 0 0 0 64 10 74 8829 77 8906 0 1 1 23547 2464 2 17685 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 197 158 85 34 45 26 16 7 6 5 184
20160727 02:11:50 14 0 12 44 0 1 0 28 28 0 0 1365 1329 32 569 0 2.44 0.87 0.31 2 0 1274784 469108 805676 63280 25880 182580 45492 81044 146752 16384 477020 5760 1048572 0 1048572 0 0 140 0 0 102424 7371 36 12912 0 0 0 0 26960 276 12 0 9 25 3 0 0 0 0 5 3 1 1 0 0 0 0 0 58 6 64 7398 37 7435 0 0 0 23529 2272 2 17670 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 532 511 402 182 86 29 16 6 5 6 184
20160727 02:12:00 21 0 16 42 0 2 0 19 39 0 0 1638 1455 43 571 1 2.96 1.03 0.37 4 2 1274784 487024 787760 64864 27320 184172 45556 83492 161172 16384 489264 5760 1048572 0 1048572 0 0 112 0 0 103132 8828 14 19126 0 0 0 0 27004 276 11 0 7 23 7 0 0 0 0 6 4 1 1 0 0 0 0 0 63 2 65 8697 15 8712 0 0 0 23562 2432 2 17687 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 282 195 237 79 42 16 6 5 6 4 184
20160727 02:12:10 12 15 44 23 0 3 0 4 73 0 0 2892 3924 643 576 7 3.27 1.16 0.42 2 1 1274784 487812 786972 63280 25628 182888 49276 81292 156276 16384 476564 5760 1048572 0 1048572 0 0 64 0 0 101188 8116 1106 192298 0 0 0 0 30628 275 11 0 8 24 7 0 0 0 0 7 5 2 1 0 0 0 0 0 99 70 170 8272 1106 9378 0 1 1 23647 2368 2 17745 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 138 509 359 116 50 24 11 4 8 2 183
20160727 02:12:20 18 2 22 40 0 2 0 16 44 0 0 1838 1862 121 583 1 3.84 1.36 0.49 2 2 1274784 506568 768216 64924 28476 184700 49824 84736 167492 16384 502584 5760 1048572 0 1048572 0 0 112 0 0 101984 9675 187 40776 0 0 0 0 31132 282 15 0 10 28 2 0 0 0 0 5 3 1 1 0 0 0 0 0 67 26 93 9622 187 9809 0 0 0 23789 2688 2 17858 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 68 169 72 31 18 14 11 4 7 2 182
